codigo,estacao,timestamp,bacia,latitude,longitude,regiao,altitude,chuva_1h_mm,chuva_6h_mm,chuva_12h_mm,chuva_24h_mm,chuva_48h_mm,rio_nivel_m,rio_tendencia
DCRS-00073,Iraí - Rio do Mel,2026-07-26T12:57:20.000+00:00,RS - Rio da Várzea,-27.199100494384766,-53.249698638916016,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,11.800000190734863,205.39999389648438,0.0
DCRS-00074,Barra do Rio Azul - Rio Azul,2026-07-26T12:57:19.000+00:00,RS - Rios Apuaê – Inhandava,-27.41069984436035,-52.41239929199219,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,3.4000000953674316,420.92999267578125,-0.0007692307699471712
DCRS-00075,Nova Petrópolis/Caxias do Sul,2026-07-26T12:55:17.000+00:00,RS - Rio Caí,-29.331600189208984,-51.163700103759766,Nordeste Rio-grandense,,0.0,0.0,0.0,0.0,0.20000000298023224,60.56999969482422,0.0
DCRS-00076, Eldorado do Sul,2026-07-26T12:57:13.000+00:00,RS - Lago Guaíba,-30.009746551513672,-51.30341339111328,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,1.149999976158142,0.0
DCRS-00077,Alegrete,2026-07-26T12:57:13.000+00:00,RS - Rio Ibicuí,-29.805400848388672,-55.78310012817383,Sudoeste Rio-grandense,,0.0,0.0,0.0,0.20000000298023224,0.4000000059604645,76.1500015258789,-0.02230769209563732
DCRS-00078,Formigueiro/Restinga Sêca,2026-07-26T12:57:14.000+00:00,RS - Rios Vacacaí - Vacacaí Mirim,-29.925899505615234,-53.416500091552734,Centro Ocidental Rio-grandense,,0.0,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.6000000238418579,31.209999084472656,0.0
DCRS-00079,São Borja ,2026-07-26T12:57:11.000+00:00,,-28.61079978942871,-56.01459884643555,Sudoeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,58.439998626708984,0.008461538702249527
DCRS-00080,São Pedro do Sul/Santa Maria,2026-07-26T12:57:12.000+00:00,RS - Rio Ibicuí,-29.664899826049805,-54.10639953613281,Centro Ocidental Rio-grandense,,0.0,9.0,9.0,10.399999618530273,21.799999237060547,107.87999725341797,-0.005454545374959707
DCRS-00081,Palmares do Sul,2026-07-26T12:57:17.000+00:00,RS - Litoral Médio,-30.257099151611328,-50.480098724365234,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,2.319999933242798,-0.0023076923098415136
DCRS-00082,Encantado (H),2026-07-26T12:57:21.000+00:00,RS - Rio Taquari-Antas,-29.188499450683594,-51.92100143432617,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,4.400000095367432,51.529998779296875,-0.0007692307699471712
DCRS-00083,Três Forquilhas - Rio Três Forquilhas,2026-07-26T12:57:18.000+00:00,RS - Rio Tramandaí,-29.510000228881836,-50.09109878540039,Metropolitana de Porto Alegre,,0.0,0.0,0.20000000298023224,0.20000000298023224,0.4000000059604645,16.440000534057617,0.0
